T26,Population employed in research and development (R&D),,,,,
24,Angola,2016,R & D personnel: Other supporting staff - women (number in full-time equivalent),38,Break in the time series.;Partial data.;Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2005,R & D personnel: Total (number in full-time equivalent),45361,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2005,R & D personnel: Researchers - total (number in full-time equivalent),31868,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2005,R & D personnel: Researchers - women (number in full-time equivalent),15416,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2005,R & D personnel: Technicians - total (number in full-time equivalent),7788,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),5705,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2010,R & D personnel: Total (number in full-time equivalent),64954,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2010,R & D personnel: Researchers - total (number in full-time equivalent),45960,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2010,R & D personnel: Researchers - women (number in full-time equivalent),22901,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2010,R & D personnel: Technicians - total (number in full-time equivalent),10120,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),8874,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2015,R & D personnel: Total (number in full-time equivalent),78725,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2015,R & D personnel: Researchers - total (number in full-time equivalent),53006,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2015,R & D personnel: Researchers - women (number in full-time equivalent),27498,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2015,R & D personnel: Technicians - total (number in full-time equivalent),14046,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2015,R & D personnel: Technicians - women (number in full-time equivalent),3608,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2015,R & D personnel: Other supporting staff - total (number in full-time equivalent),11673,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2015,R & D personnel: Other supporting staff - women (number in full-time equivalent),4223,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2018,R & D personnel: Total (number in full-time equivalent),82764,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2018,R & D personnel: Researchers - total (number in full-time equivalent),53740,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2018,R & D personnel: Researchers - women (number in full-time equivalent),28295,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2018,R & D personnel: Technicians - total (number in full-time equivalent),17658,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2018,R & D personnel: Technicians - women (number in full-time equivalent),7893,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2018,R & D personnel: Other supporting staff - total (number in full-time equivalent),11366,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2018,R & D personnel: Other supporting staff - women (number in full-time equivalent),5483,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2005,R & D personnel: Total (number in full-time equivalent),6892,Head count instead of Full-time equivalent.;Partial data.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2005,R & D personnel: Researchers - total (number in full-time equivalent),5056,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2005,R & D personnel: Researchers - women (number in full-time equivalent),2329,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2005,R & D personnel: Technicians - total (number in full-time equivalent),345,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),1491,Head count instead of Full-time equivalent.;Partial data.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2010,R & D personnel: Total (number in full-time equivalent),6558,Head count instead of Full-time equivalent.;Partial data.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2010,R & D personnel: Researchers - total (number in full-time equivalent),4981,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2010,R & D personnel: Researchers - women (number in full-time equivalent),2261,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2010,R & D personnel: Technicians - total (number in full-time equivalent),479,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),672,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2015,R & D personnel: Total (number in full-time equivalent),5044,Head count instead of Full-time equivalent.;Excluding private non-profit.;Excluding business enterprise.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2015,R & D personnel: Researchers - total (number in full-time equivalent),3856,Head count instead of Full-time equivalent.;Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2015,R & D personnel: Researchers - women (number in full-time equivalent),2023,Head count instead of Full-time equivalent.;Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2015,R & D personnel: Technicians - total (number in full-time equivalent),308,Head count instead of Full-time equivalent.;Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2015,R & D personnel: Technicians - women (number in full-time equivalent),186,Head count instead of Full-time equivalent.;Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2015,R & D personnel: Other supporting staff - total (number in full-time equivalent),503,Head count instead of Full-time equivalent.;Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2015,R & D personnel: Other supporting staff - women (number in full-time equivalent),270,Head count instead of Full-time equivalent.;Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2018,R & D personnel: Total (number in full-time equivalent),4452,Head count instead of Full-time equivalent.;Excluding private non-profit.;Excluding business enterprise.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2018,R & D personnel: Researchers - total (number in full-time equivalent),3384,Head count instead of Full-time equivalent.;Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2018,R & D personnel: Researchers - women (number in full-time equivalent),1705,Head count instead of Full-time equivalent.;Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2018,R & D personnel: Technicians - total (number in full-time equivalent),168,Head count instead of Full-time equivalent.;Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2018,R & D personnel: Technicians - women (number in full-time equivalent),87,Head count instead of Full-time equivalent.;Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2018,R & D personnel: Other supporting staff - total (number in full-time equivalent),453,Head count instead of Full-time equivalent.;Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2018,R & D personnel: Other supporting staff - women (number in full-time equivalent),247,Head count instead of Full-time equivalent.;Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
36,Australia,2004,R & D personnel: Total (number in full-time equivalent),116194,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
36,Australia,2004,R & D personnel: Technicians - total (number in full-time equivalent),17600,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
36,Australia,2004,R & D personnel: Other supporting staff - total (number in full-time equivalent),17402,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
36,Australia,2008,R & D personnel: Total (number in full-time equivalent),137489,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
36,Australia,2008,R & D personnel: Researchers - total (number in full-time equivalent),92649,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
36,Australia,2008,R & D personnel: Technicians - total (number in full-time equivalent),24243,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
36,Australia,2008,R & D personnel: Other supporting staff - total (number in full-time equivalent),20597,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
36,Australia,2010,R & D personnel: Total (number in full-time equivalent),147809,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
36,Australia,2010,R & D personnel: Researchers - total (number in full-time equivalent),100414,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2004,R & D personnel: Technicians - total (number in full-time equivalent),12067,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2004,R & D personnel: Technicians - women (number in full-time equivalent),2901,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2004,R & D personnel: Other supporting staff - women (number in full-time equivalent),2471,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2005,R & D personnel: Total (number in full-time equivalent),47625,Estimate.;Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2005,R & D personnel: Researchers - total (number in full-time equivalent),28470,Estimate.;Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2009,R & D personnel: Total (number in full-time equivalent),56438,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2009,R & D personnel: Researchers - total (number in full-time equivalent),34664,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2009,R & D personnel: Researchers - women (number in full-time equivalent),7765,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2009,R & D personnel: Technicians - total (number in full-time equivalent),16709,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2009,R & D personnel: Technicians - women (number in full-time equivalent),3903,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2009,R & D personnel: Other supporting staff - total (number in full-time equivalent),5065,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2009,R & D personnel: Other supporting staff - women (number in full-time equivalent),2398,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2010,R & D personnel: Total (number in full-time equivalent),59923,Estimate.;Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2010,R & D personnel: Researchers - total (number in full-time equivalent),36581,Estimate.;Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2015,R & D personnel: Total (number in full-time equivalent),71396,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2015,R & D personnel: Researchers - total (number in full-time equivalent),43562,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2015,R & D personnel: Researchers - women (number in full-time equivalent),10114,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2015,R & D personnel: Technicians - total (number in full-time equivalent),22387,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2015,R & D personnel: Technicians - women (number in full-time equivalent),4651,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2015,R & D personnel: Other supporting staff - total (number in full-time equivalent),5447,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2015,R & D personnel: Other supporting staff - women (number in full-time equivalent),2326,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2017,R & D personnel: Total (number in full-time equivalent),76010,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2017,R & D personnel: Researchers - total (number in full-time equivalent),47521,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2017,R & D personnel: Researchers - women (number in full-time equivalent),11243,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2017,R & D personnel: Technicians - total (number in full-time equivalent),23356,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2017,R & D personnel: Technicians - women (number in full-time equivalent),4893,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
